t0,t1,vision_deg,gyro_deg,coverage
870.9,872.8,25.2,-27.4,0.6
882.9,884.2,-23.6,19.3,1.0
891.5,893.2,7.7,-28.5,0.25
905.2,907.0,23.5,-32.5,0.4
911.6,912.9,-6.2,15.3,1.0
915.1,916.1,7.5,16.0,1.0
919.2,921.0,3.6,-31.0,0.5
926.4,927.6,-0.7,11.8,1.0
933.5,934.9,9.2,-28.0,0.0
941.9,943.0,-0.1,15.0,0.67
944.6,946.3,8.8,-34.8,0.0
953.4,954.4,-3.3,14.3,1.0
957.1,958.5,4.8,-25.6,0.25
962.7,963.7,-1.7,14.6,1.0
965.5,967.0,-4.0,20.6,1.0
969.2,970.9,19.1,-30.5,0.0
981.0,982.8,37.8,-25.6,0.0
993.3,995.0,15.1,-29.8,0.0
